chrom,n_copies,chrom_class,mean_raw_div,median_raw_div,mean_jc_div,mean_tstv
16,84,micro_derived,0.3412031272286857,0.27903644525772775,0.4805225514662014,0.8325566255842376
25,51,micro_derived,0.35770657528424943,0.2710204081632653,0.53436109011893,0.8945143685622211
35,48,micro_derived,0.38606347209519143,0.2943886097152429,0.5807002933944828,0.8951043137243001
30,36,micro_derived,0.3782728099373279,0.2930496837773129,0.5680069417905443,0.894116351215319
29,35,micro_derived,0.39865898720549814,0.4891922639362912,0.6124056616324148,0.8747124889846323
31,31,micro_derived,0.37650000690536173,0.28452579034941766,0.5653539931374084,0.8851302710165883
34,24,micro_derived,0.43414843062551495,0.4943180283809242,0.689708144996143,0.898979848667142
33,23,micro_derived,0.36359918591084356,0.27049180327868855,0.5414499933148873,0.8595846283330281
37,22,micro_derived,0.4290865609945101,0.49686795135824263,0.681678535671675,0.9042544498094841
36,13,micro_derived,0.347850996755955,0.2743801652892562,0.5011435916064676,0.8835664695306475
32,9,micro_derived,0.4009880863046672,0.4883720930232558,0.6166668348413571,0.8990737247067343
7,7,chr7_ancestral,0.41965675562447896,0.5075949367088608,0.6662823141729307,0.9421859992132464
6,7,macro_derived,0.257826375013875,0.2578125,0.31593187204397816,0.9106876993973768
Z,6,sex_chrom,0.3990818199448225,0.3671878612271319,0.6035641528235602,1.0753456046854841
28,4,micro_derived,0.381260934038406,0.37546879013614176,0.5728207268008804,0.8809583262754466
24,3,micro_derived,0.27373173053685645,0.26125244618395305,0.3412989882697259,0.8310555553534905
22,2,micro_derived,0.24653625306302884,0.24653625306302884,0.2989278464727919,1.0557275541795665
21,1,micro_derived,0.512853470437018,0.512853470437018,0.8635462411845216,0.8820754716981132
20,1,micro_derived,0.4077669902912621,0.4077669902912621,0.5884360398896828,0.8260869565217391
1A,1,macro_derived,0.5105140186915887,0.5105140186915887,0.8561837434136645,0.8361344537815126
8,1,macro_derived,0.5111111111111111,0.5111111111111111,0.8580559970586499,0.7983539094650206
1,1,macro_derived,0.5065868263473053,0.5065868263473053,0.8439846779783657,0.8076923076923077
